S.No,Course Name,Timing
399,ELECTRIC DRIVES-ELL332,TWF 10:00-11:00
400,EMBEDDED SYSTEMS-ELL365,MTh 09:30-11:00
401,POWER SYSTEMS PROTECTION-ELL400,TWF 10:00-11:00
402,OPERATING SYSTEMS-ELL405,MTF 12:00-13:00
403,ROBOTICS AND AUTOMATION-ELL406,TThF 11:00-12:00
404,MACHINE INTELLIGENCE & LEARNING-ELL409,MTh 09:30-11:00
405,DIGITAL COMMUNICATIONS-ELL411,TWF 10:00-11:00
406,SWITCH MODE POWER CONVERSION-ELL437,"W 12:00-13:00 ,TF 17:00-18:00"
407,SPECIAL TOPICS IN COGNITIVE & INTELLIGENT SYSTEMS-ELL457,"MW 11:00-12:00 ,Th 12:00-13:00"
408,OPTIMAL CONTROL THEORY-ELL703,MTh 09:30-11:00
409,STOCHASTIC FILTERING AND IDENT-ELL705,MTh 08:00-09:30
410,SELECTED TOPICS IN SYSTEMS  AN-ELL708,TF 14:00-15:30
411,"ONLINE PREDICTION, OPTIMIZATION, AND LEARNING-ELL709",
412,TELECOMMUNICATION SWITCHING AN-ELL716,
413,OPTICAL COMMUNICATION SYSTEMS-ELL717,MTh 08:00-09:30
414,STATISTICAL SIGNAL PROCESSING-ELL718,MTF 12:00-13:00
415,DETECTION & ESTIMATION THEORY-ELL719,MTh 09:30-11:00
416,ADVANCED DIGITAL SIGNAL PROCES-ELL720,MTh 17:00-18:30
417,WIRELESS COMMUNICATIONS-ELL725,"W 12:00-13:00 ,TF 17:00-18:00"
418,STOCHASTIC CONTROL AND REINFORCEMENT LEARNING-ELL729,
419,I.C. TECHNOLOGY-ELL730,MTh 08:00-09:30
420,MIXED SIGNAL CIRCUIT DESIGN-ELL731,MTh 14:00-15:30
421,MICRO AND NANO PHOTONICS-ELL738,MTh 17:00-18:30
422,QUANTUM ELECTRONICS-ELL745,
423,ACTIVE AND PASSIVE FILTER DESI-ELL747,"MW 11:00-12:00 ,Th 12:00-13:00"
424,SEMICONDUCTOR MEMORY DESIGN-ELL749,MTh 09:30-11:00
425,ELECTRIC DRIVE SYSTEM-ELL752,MTh 09:30-11:00
426,SWITCHED MODE POWER CONVERSION-ELL760,"W 12:00-13:00 ,TF 17:00-18:00"
427,ELECTRICAL SYSTEMS FOR CONSTRUCTION INDUSTRIES-ELL769,TThF 11:00-12:00
428,ADVANCED POWER SYSTEM OPTIMIZA-ELL776,MTh 09:30-11:00
429,OPERATING SYSTEMS-ELL783,MTF 12:00-13:00
430,INTRODUCTION TO MACHINE LEARNI-ELL784,TWF 08:00-09:00
431,NONLINEAR CONTROL-ELL801,MTh 14:00-15:30
432,WIRELESS OPTICAL COMMUNICATION-ELL814,"MW 11:00-12:00 ,Th 12:00-13:00"
433,MIMO WIRELESS COMMUNICATIONS-ELL815,TWF 10:00-11:00
434,SELECTED TOPICS IN INFORMATION PROCESSING-I-ELL823,
435,SELECTED TOPICS ININFORMATION PROCESSING - II-ELL824,TF 14:00-15:30
436,ISSUES IN DEEP SUBMICRON VLSI-ELL830,MTh 15:30-17:00
437,"CAD FOR VLSI, MEMS, AND NANOAS-ELL831",MTF 12:00-13:00
438,SELECTED TOPICS IN IEC-I-ELL832,TF 14:00-15:30
439,SELECTED TOPICS IN IEC-II-ELL834,TF 15:30-17:00
440,DIGITAL CONTROL OF POWER ELECT-ELL850,MTh 17:00-18:30
441,HIGH POWER CONVERTERS-ELL855,TWF 10:00-11:00
442,SELECTED TOPICS IN POWER ELECT-ELL857,MTF 12:00-13:00
443,SPECIAL TOPICS IN COMPUTERS-II-ELL881,"MW 11:00-12:00 ,Th 12:00-13:00"
444,DEEP LEARNING FOR NATURAL LANGUAGE PROCESSING-ELL884,MTh 14:00-15:30
445,CLOUD COMPUTING-ELL887,MTh 15:30-17:00
446,NETWORK SECURITY-ELL895,TWF 10:00-11:00
447,INTRO. TO ELECTRICAL ENGG.-ELP101,
448,ELECTROMECHANICS LABORATORY-ELP203,
449,POWER ELECTRONICS LABORATORY-ELP302,
450,DESIGN AND SYSTEM LABORATORY-ELP305,
451,COMMUNICATION ENGINEERING LAB.-ELP311,
452,WIRELESS COMMUNICATION LABORAT-ELP725,
453,PHYSICAL DESIGN LABORATORY-ELP736,
454,ON-WAFER DEVICE CHARACTERIZATION LABORATORY-ELP740,
455,ADVANCED CONTROL LABORATORY-ELP801,
456,SEMICONDUCTOR PROCESSING LABOR-ELP830,
457,IEC LABORATORY-II-ELP832,
458,ELECTRICAL DRIVES LABORATORY-ELP852,
459,DSP BASED CONTROL OF POWER ELE-ELP853,
460,POWER SYSTEM LAB 2-ELP871,
461,SEMINAR COURSE - I-ELQ301,
462,INDEPENDENT STUDY (EE1)-ELS310,
463,INDEPENDENT STUDY (EE3)-ELS330,
464,SPECIAL MODULE IN MACHINE LEAR-ELV832,"W 12:00-13:00 ,TF 17:00-18:00"
465,FIBER OPTICS AND OPTICAL COMMUNICATION LAB.II-JOP792,
466,MAJOR PROJECT PART-I-JVD811,
467,MAJOR PROJECT PART-II-JVD812,
468,MS RESEARCH PROJECT-JVD895,
469,B.TECH. PROJECT-I-ESD400,
470,B.TECH. PROJECT-II-ESD406,
471,MAJOR PROJECT PART I [ESN]-ESD801,
472,MAJOR PROJECT PART II [ESN]-ESD802,
473,MAJOR PROJECT PART I [ESR]-ESD851,
474,MAJOR PROJECT PART II [ESR]-ESD852,
475,MS RESEARCH PROJECT-ESD895,
476,FUNDAMENTALS OF ENERGY ENGINEERING-ESL200,TWF 09:00-10:00
477,ELECTRICAL MACHINES-ESL262,MTh 09:30-11:00
478,SELF-ORGANIZING DYNAMICAL SYSTEMS-ESL300,MTF 12:00-13:00
479,"ENERGY, ECOLOGY AND ENVIRONMENT-ESL330",TWF 09:00-10:00
480,ENERGY CONSERVATION MANAGEMENT-ESL350,TWF 10:00-11:00
481,HYDROGEN ECONOMY-ESL352,"MW 11:00-12:00 ,Th 12:00-13:00"
482,DIRECT ENERGY CONVERSION-ESL360,MTh 09:30-11:00
483,POWER SYSTEMS AND SMART GRID OPERATIONS-ESL361,TWF 08:00-09:00
484,DESIGN OF ENERGY SYSTEMS-ESL371,TWF 10:00-11:00
485,COMPUTATIONAL METHODS FOR ENERGY SYSTEMS-ESL373,TThF 11:00-12:00
486,PULSE WIDTH MODULATION TECHNIQUES AND AC MOTOR DRIVES-ESL721,MTh 14:00-15:30
487,RENEWABLE ENERGY AND ENVIRONMENT-ESL729,TThF 11:00-12:00
488,PLASMA FOR ENERGY AND ENVIRONMENT-ESL744,MTh 15:30-17:00
489,RENEWABLE ENERGY RESOURCE ASSESSMENT AND FORECASTING-ESL751,MTh 17:00-18:30
490,WIND & SMALL HYDRO ENERGY SYSTEMS-ESL768,TF 14:00-15:30
491,BATTERY STORAGE-ESL773,TF 15:30-17:00
492,QUANTITATIVE METHODS FORENERGY MANAGEMENT & PLG.-ESL774,TWF 09:00-10:00
493,INDUSTRIAL ENERGY & ENVIRONMENT ANALYSI-ESL776,MTh 09:30-11:00
494,COGENERATION AND ENERGY EFFICIENCY-ESL784,MTF 12:00-13:00
495,EMERGING MATERIALS FOR NEXT GENERATION PHOTOVALTAIC APPLICATIONS-ESL852,"MW 11:00-12:00 ,Th 12:00-13:00"
496,SOLAR PHOTOVOLTAIC POWER GENERATION-ESL855,TWF 08:00-09:00
497,INTRODUCTION TO PROJECT MANAGEMENT-ESN702,"W 13:00-14:00 ,TF 18:00-19:00"
498,TECHNICAL WRITING-ESN703,"W 13:00-14:00 ,TF 18:00-19:00"
499,ELECTRICAL ENERGY LABORATORY-ESP260,
500,ENERGY INNOVATION LABORATORY-ESP300,
501,RENEWABLE ENERGY LABORATORY-ESP705,
502,ENERGY & ENVIRONMENT LABORATORY-ESP728,
503,SEMINAR COURSE ON RENEWABLE ENERGY-ESQ301,
504,SEMINAR COURSE ON NUCLEARENERGY AND FUTURISTIC USE-ESQ307,
505,COGNITIVE SCIENCE PROJECT II-HSD622,
506,RESEARCH PROJECT PART - I-HSD690,
507,SEMINAR (CASE MATERIAL-BASED)MINOR PROJECT-HSD700,
508,CONTEMPORARY SOCIAL THEORY-HSL571,MTh 14:00-15:30
509,INTRODUCTION TO RESEARCH METHODS-HSL583,MTh 15:30-17:00
510,POLITICAL THOUGHT-HSL584,TWF 10:00-11:00
511,MICROECONOMICS II-HSL611,MTh 14:00-15:30
512,MACROECONOMICS II-HSL612,MTh 09:30-11:00
513,ECONOMETRICS-HSL613,MTh 15:30-17:00
514,DEVELOPMENT ECONOMICS-HSL614,TF 14:00-15:30
515,MATHEMATICAL FOUNDATIONS FOR COGNITIVE SCIENCE-HSL621,"MW 11:00-12:00 ,Th 12:00-13:00"
516,COMPUTATION AND COGNITION-HSL622,MTh 15:30-17:00
517,STUDY OF AN AUTHOR-HSL631,TF 14:00-15:30
518,THE LYRIC POET IN MODERNITY-HSL633,MTF 12:00-13:00
519,PHILOSOPHY OF MIND AND COGNITION-HSL651,TF 15:30-17:00
520,COGNITIVE PROCESSES: FROM LABS TO FIELDS-HSL661,MTh 14:00-15:30
521,STRATIFICATION ECONOMICS-HSL706,
522,PERSPECTIVES ON INDIAN ECONOMY-HSL717,MTh 17:00-18:30
523,ADVANCED ECONOMETRICS-HSL719,TF 15:30-17:00
524,ADVANCED COMPUTATIONAL METHODS-HSL723,TWF 09:00-10:00
525,ADVANCED EXPERIMENTAL METHODS-HSL724,MTh 17:00-18:30
526,OPTIMALITY THEORY AND HARMONIC GRAMMAR-HSL749,TThF 11:00-12:00
527,ACOUSTIC PHONETICS-HSL750,
528,CRITICAL READING IN PHILOSOPHICAL TEXTS-HSL751,MTh 15:30-17:00
529,PSYCHOLOGICAL INTERVENTIONS-HSL764,
530,"SCIENCE, TECHNOLOGY AND SOCIETY-HSL783",
531,RESEARCH WRITING-HSL800,MTh 08:00-09:30
532,RESEARCH WRITING-HSL800,MTh 17:00-18:30
533,ADVANCED DATA ANALYSIS FOR BEHAVIORAL RESEARCH USING R-HSL822,MTh 14:00-15:30
534,LITERATURE AND THE CITY-HSL834,
535,MINIMALIST ARCHITECTURE OF GRAMMAR-HSL841,
536,COMPUTATIONAL MODELS OF MEANING-HSL844,TF 14:00-15:30
537,ADVANCED TOPICS IN LINGUISTICS-HSL850,
538,ADVANCED TOPICS IN PHILOSOPHY-HSL860,
539,GLOBALIZATION-HSL878,MTh 14:00-15:30
540,ECONOMICS LAB-HSP511,
541,COGNITIVE SCIENCE LECTURE SERIES II-HSP523,
542,RESEARCH PROJECT IN ECONOMICS II-HSP620,
543,HSS COLLOQUIUM-II-HSQ502,
544,INTRODUCTION TO ECONOMICS-HUL211,MTh 17:00-18:30
545,MICROECONOMICS-HUL212,MTh 17:00-18:30
546,MACRO ECONOMICS-HUL213,MTh 17:00-18:30
547,AN INTRODUCTION TO LITERATURE-HUL231,MTh 17:00-18:30
548,AN INTRODUCTION TO DRAMA-HUL236,MTh 17:00-18:30
549,CONTEMPORARY FICTION-HUL237,MTh 17:00-18:30
550,FUNDAMENTALS OF LANGUAGE SCIENCES-HUL242,MTh 17:00-18:30
551,LANGUAGE AND COMMUNICATION-HUL243,MTh 17:00-18:30
552,CRITICAL THINKING-HUL256,MTh 08:00-09:30
553,SOCIAL AND POLITICAL PHILOSOPH-HUL258,MTh 08:00-09:30
554,INTRODUCTION TO PSYCHOLOGY-HUL261,MTh 17:00-18:30
555,INTRODUCTION TO THE SOCIOLOGY OF INDIA-HUL272,"MW 11:00-12:00 ,Th 12:00-13:00"
556,ENVIRONMENT; DEVELOPMENT AND SOCIETY-HUL275,MTh 17:00-18:30
557,APPLIED GAME THEORY-HUL311,MTh 08:00-09:30
558,ECONOMETRIC METHODS-HUL315,MTh 17:00-18:30
559,SELECTED TOPICS IN LITERATURE-HUL340,MTh 17:00-18:30
560,PROBLEMS IN CLASSICAL INDIAN PHILOSOPHY-HUL352,MTh 17:00-18:30
561,APPLIED POSITIVE PSYCHOLOGY-HUL361,MTh 08:00-09:30
562,UNDERSTANDING THE SOCIAL BEING-HUL364,MTh 08:00-09:30
563,SELECTED TOPICS IN PSYCHOLOGY-HUL370,MTh 08:00-09:30
564,"SCIENCE, TECHNOLOGY AND SOCIETY-HUL371",MTh 08:00-09:30
565,SELECTED TOPICS IN SOCIOLOGY-HUL380,"MW 11:00-12:00 ,Th 12:00-13:00"
566,AGRARIAN SOCIETIES AND TRANSFORMATION-HUL688,MTh 09:30-11:00
567,DEVELOPMENT ECONOMICS -HUL720,
568,AGRARIAN SOCIETIES AND RURAL DEVELOPMENT-HUL775,
569,PHILOSOPHY AND FILM-HUL846,
570,"ETHNOGRAPHY: THEORY, PRACTICE AND CRITIQUE-HUL876",
571,"NARRATOLOGY: FOUNDATIONS, DOMAINS, FRONTIERS-HUL881",
572,PROFESSIONAL ETHICS AND SOCIAL RESPONSIBILITY - II-NEN111,
573,LANGUAGE & WRITING SKILL-2-NLN101,
574,MBA PROJECT-MDD801,
575,MBA PROJECT-MDD802,
576,MBA PROJECT-MDD803,
577,FIXED INCOME SECURITIES-MDL803,TF 14:00-15:30
578,MARKETING NOT-FOR-PROFIT-MDL808,MTh 09:30-11:00
579,CONSUMER BEHAVIOR-MDL810,Th 18:15-21:15
580,BUSINESS PLAN & FUNDING-MSD309,
581,ORGANIZATION AND PEOPLE MANAGEMENT-MSL301,MTh 17:00-18:30
582,MARKETING MANAGEMENT-MSL303,MTh 08:00-09:30
583,OPERATIONS MANAGEMENT-MSL304,W 18:15-21:15
584,VENTURE FINANCING & TEAMING-MSL307,M 18:15-21:15
585,CORPORATE INNOVATION & ENTREPRENEURSHIP-MSL407,Th 18:15-21:15
586,FUNDAMENTALS OF MANAGEMENT OF TECHNOLOGY-MSL700,M 18:15-21:15
587,HRM SYSTEMS-MSL705,MTh 14:00-15:30
588,HRM SYSTEMS-MSL705,MTh 15:30-17:00
589,HRM SYSTEMS-MSL705,M 18:15-21:15
590,BUSINESS LAWS-MSL706,MTh 14:00-15:30
591,BUSINESS LAWS-MSL706,MTh 15:30-17:00
592,FINANCIAL MANAGEMENT-MSL708,MTh 08:00-09:30
593,FINANCIAL MANAGEMENT-MSL708,TWF 08:00-09:00
594,STRATEGIC MANAGEMENT-MSL711,MTh 09:30-11:00
595,STRATEGIC MANAGEMENT-MSL711,TWF 09:00-10:00
596,INFORMATION SYSTEMS MANAGEMENT-MSL713,MTh 14:00-15:30
597,INFORMATION SYSTEMS MANAGEMENT-MSL713,TF 15:30-17:00
598,INFORMATION SYSTEMS MANAGEMENT-MSL713,W 18:15-21:15
599,MACROECONOMIC ENV. OF BUSINESS-MSL720,TThF 11:00-12:00
600,MACROECONOMIC ENV. OF BUSINESS-MSL720,MTF 12:00-13:00
601,MACROECONOMIC ENV. OF BUSINESS-MSL720,F 18:15-21:15
602,TELECOM SYSTEMS MANAGEMENT-MSL723,MTh 08:00-09:30
603,INTERPERSONAL BEHAVIOR & TEAM DYNAMICS-MSL727,T 18:15-21:15
604,INTERPERSONAL BEHAVIOR & TEAM DYNAMICS-MSL727,TF 14:00-15:30
605,INTERPERSONAL BEHAVIOR & TEAM DYNAMICS-MSL727,TF 15:30-17:00
606,INTERPERSONAL BEHAVIOR & TEAM DYNAMICS-MSL727,M 18:15-21:15
607,INTERNATIONAL TELECOM MANAGEMENT-MSL728,TWF 09:00-10:00
608,ORGANIZATION THEORY-MSL733,MTh 15:30-17:00
609,ORGANIZATION THEORY-MSL733,TF 14:00-15:30
610,ORGANIZATION THEORY-MSL733,W 18:15-21:15
611,MANAGEMENT OF SMALL & MEDIUM SCALE INDUSTRIAL ENT.-MSL734,T 18:15-21:15
612,OPERATIONS MANAGEMENT-MSL745,MTh 09:30-11:00
613,OPERATIONS MANAGEMENT-MSL745,TWF 09:00-10:00
614,OPERATIONS MANAGEMENT-MSL745,Th 18:15-21:15
615,MARKETING MANAGEMENT-MSL760,T 18:15-21:15
616,BUSINESS CYCLES AND GLOBAL ECONOMY-MSL782,W 18:15-21:15
617,SERVICES OPERATIONS MANAGEMENT-MSL805,Th 18:15-21:15
618,ADVANCED DATA MINING FOR BUSINESS DECISIONS-MSL810,F 18:15-21:15
619,INDUSTRIAL WASTE MANAGEMENT-MSL818,F 18:15-21:15
620,SUPPLY CHAIN ANALYTICS-MSL841,M 18:15-21:15
621,ADVERTISING AND SALESPROMOTION MANAGEMENT-MSL863,F 18:15-21:15
622,SALES MANAGEMENT-MSL865,"W 12:00-13:00 ,TF 17:00-18:00"
623,CORPORATE GOVERNANCE-MSL870,T 18:15-21:15
624,SECURITY ANALYSIS & PORTFOLIOMANAGEMENT-MSL873,TF 15:30-17:00
625,ELECTRONIC PAYMENTS-MSL878,F 18:15-21:15
626,CURRENT AND EMERGING ISSUES IN FINANCE-MSL879,F 18:15-21:15
627,INFORMATION SYSTEM STRATEGY-MSL884,Th 18:15-21:15
628,SOCIAL MEDIA AND BUSINESS PRACTICES-MSL894,TThF 11:00-12:00
629,SOCIAL  SECTOR ATTACHMENT-MST894,
630,FRONTIERS IN OB & HR MANAGEMENT-MSV826,MTh 17:00-18:30
631,MAJOR PROJECT PART-II-JPD802,
632,B. TECH. PROJECT (PART -2)-MLD412,
633,MAJOR PROJECT-2-MLD802,
634,MS RESEARCH PROJECT-MLD895,
635,INTRODUCTION TO MATERIALS SCIENCE AND ENGINEERING-MLL100,TWF 10:00-11:00
636,STRUCTURE OF MATERIALS-MLL102,MTh 09:30-11:00
637,CHARACTERIZATION OF MATERIALS I-MLL104,TWF 10:00-11:00
638,PHASE EQUILIBRIA AND TRANSFORMATIONS-MLL202,"MW 11:00-12:00 ,Th 12:00-13:00"
639,MATH. METHODS IN MATERIALS ENGINEERING-MLL212,MTF 12:00-13:00
640,INTRODUCTION TO POLYMERIC MATERIALS-MLL242,TWF 08:00-09:00
641,GLASS AND CERAMICS-MLL264,TWF 09:00-10:00
642,MATERIALS SELECTION AND DESIGN-MLL372,TWF 10:00-11:00
643,CORROSIOON AND DEGRADATION OF MATERIALS-MLL452,TWF 08:00-09:00
644,MECHANICAL BEHAVIOUR OF MATERIALS-MLL711,TWF 09:00-10:00
645,ADVANCED ENGINEERING MATERIALS-MLL715,MTF 12:00-13:00
646,POLYMER PROCESSING-MLL720,MTh 14:00-15:30
647,POLYMER TECHNOLOGY-MLL722,MTh 08:00-09:30
648,POLYMER TESTING AND PROPERTIES-MLL725,TWF 09:00-10:00
649,DIFFUSION & KINETICS-MLL730,MTh 09:30-11:00
650,POLYMER COATINGS-MLL739,TWF 10:00-11:00
651,NANOSTRUCTURES AND NANOMATERIALS-MLL740,TWF 10:00-11:00
652,BIODEGRADABLE POLYMERIC MATERIALS-MLL741,TF 15:30-17:00
653,MICRO AND NANOFABRICATION IN MATERIALS ENGG.-MLL742,MTh 17:00-18:30
654,"CRYSTALS, SYMMETRY, AND TENSORS-MLL746",MTh 08:00-09:30
655,MATERIALS SIMULATION METHODS USING HIGH PERFORMANCE COMPUTING-MLL760,TWF 09:00-10:00
656,RESEARCH SEMINAR-MLN710,
657,MECHANICAL BEHAVIOR OF MATRIALS LAB-MLP352,
658,FUNCTIONAL MATERIALS LAB-MLP354,
659,MATERIALS SCIENCE AND ENGINEERING COLLOQUIUM-,
,MLQ301,
660,RESEARCH PRACTICE FOR BEGINNERS-MLS302,
661,POLYMER SCI. LAB-PTP710,
662,MINI PROJECT-MTD350,
663,B.TECH. PROJECT-MTD421,
664,PROJECT 2-MTD702,
665,MAJOR PROJECT PARTII-MTD852,
666,MAJOR PROJECT PART-II-MTD854,
667,LINEAR ALGEBRA & DIFFE. EQUA.-MTL101,TWF 09:00-10:00
668,LINEAR ALGEBRA & DIFFE. EQUA.-MTL101,TWF 14:30-15:30
669,DIFFERENTIAL EQUATIONS-MTL102,TWF 10:00-11:00
670,OPTIMIZATION METHODS & APPL.-MTL103,MTh 08:00-09:30
671,LINEAR ALGEBRA & APPLICATIONS-MTL104,TWF 09:00-10:00
672,ALGEBRA-MTL105,TThF 11:00-12:00
673,PROBABILITY & STOCHASTIC PRO.-MTL106,TWF 09:00-10:00
674,NUMERICAL METHOD S& COMPUTATION-MTL107,TWF 09:00-10:00
675,INTRODUCTION TO STATISTICS-MTL108,TWF 09:00-10:00
676,REAL AND COMPLEX ANALYSIS-MTL122,TThF 11:00-12:00
677,NUMBER THEORY-MTL145,TF 14:00-15:30
678,COMBINATORICS-MTL146,MTh 14:00-15:30
679,STATISTICAL METHODS-MTL390,TWF 09:00-10:00
680,FUNCTIONAL ANALYSIS-MTL411,"MW 11:00-12:00 ,Th 12:00-13:00"
681,COMPLEX ANALYSIS-MTL506,MTh 09:30-11:00
682,TOPOLOGY-MTL507,TThF 11:00-12:00
683,MATHEMATICAL PROGRAMMING-MTL508,"W 12:00-13:00 ,TF 17:00-18:00"
684,NUMERICAL  ANALYSIS-MTL509,MTF 12:00-13:00
685,MEASURE AND INTEGRATION-MTL510,TWF 09:00-10:00
686,COMP. METHODS FOR DIFFER. EQU.-MTL712,MTh 14:00-15:30
687,STOCHASTIC OF FINANCE-MTL733,TF 15:30-17:00
688,ADVANCED NUMBER THEORY-MTL735,TF 14:00-15:30
689,MATHEMATICAL THEORY OF CODING-MTL744,MTh 17:00-18:30
690,SYMBOLIC DYNAMICS-MTL751,TThF 11:00-12:00
691,GRAPH THEORY-MTL768,MTh 15:30-17:00
692,COMBINATORIAL OPTIMIZATION-MTL770,TF 15:30-17:00
693,DATA MINING-MTL782,MTh 09:30-11:00
694,MULTIPLE DECISION PROCEDURES IN RANKING AND SELECTION-MTL855,"MW 11:00-12:00 ,Th 12:00-13:00"
695,ANALYSIS-MTL874,MTh 15:30-17:00
696,COMPUTING LABORATORY-MTP290,
697,SEMINAR COURSE - XII-MTQ312,
698,SEMINAR COURSE - XIII-MTQ313,
699,SEMINAR COURSE - XIV-MTQ314,
700,SEMINAR COURSE - XV-MTQ315,
701,SEMINAR COURSE - XVI-MTQ316,
702,MINI PROJECT IN ROBOTICS-JRD301,
703,B.TECH.PROJECT-MCD411,
704,B.TECH.PROJECT - II-MCD412,
705,MAJOR PROJECT PART II (THERMALENGINEERING)-MCD812,
706,MAJOR PROJECT PART-I-MCD831,
707,MAJOR PROJECT PART II-MCD832,
708,MAJOR PROJECT PART-II-MCD862,
709,MAJOR PROJECT PART-2-MCD882,
710,MAJOR PROJECT (MSR)-MCD895,
711,MANUFACTURING PROCESSES I-MCL131,"MW 11:00-12:00 ,Th 12:00-13:00"
712,METAL FORMING AND PRESS TOOLS-MCL132,"MW 11:00-12:00 ,Th 12:00-13:00"
713,NEAR NET SHAPE MANUFACTURING-MCL133,MTh 09:30-11:00
714,MATERIAL REMOVAL PROCESSES-MCL136,"MW 11:00-12:00 ,Th 12:00-13:00"
715,THERMAL SC. FOR ELE. ENGINEERS-MCL142,TWF 09:00-10:00
716,MECHANICAL ENGG. DRAWING-MCL201,TWF 10:00-11:00
717,CONTROL THEORY & APPLICATIONS-MCL212,MTh 09:30-11:00
718,ENERGY SYSTEMS AND TECH.-MCL241,MTh 09:30-11:00
719,CAD & FINITE ELEMENT ANALYSIS-MCL311,TWF 10:00-11:00
720,ACOUSTICS AND NOISE CONTROL-MCL314,TThF 11:00-12:00
721,AUTOMOTIVE SYSTEMS-MCL321,TWF 10:00-11:00
722,MICRO AND NANO MANUFACTURING-MCL331,MTh 08:00-09:30
723,INTERMEDIATE HEAT TRANSFER-MCL347,TWF 10:00-11:00
724,THERMAL MGMT. OF ELECTRONICS-MCL348,MTF 12:00-13:00
725,MANUFACTURING SYSTEM DESIGN-MCL361,TWF 09:00-10:00
726,SPL. TOPICS IN MECHANICAL ENGG-MCL380,TThF 11:00-12:00
727,AUTOMOTIVE STRUCTURAL DESIGN-MCL421,TWF 09:00-10:00
728,EXPERIMENTAL METHODS-MCL705,TWF 08:00-09:00
729,THERMAL TURBOMACHINES-MCL707,TWF 10:00-11:00
730,FRACTURE MECHANICS IN DESIGN-MCL711,MTh 09:30-11:00
731,AIR POLLUTION: SOURCES AND APPORTIONMENT-MCL732,"MW 11:00-12:00 ,Th 12:00-13:00"
732,VIBRATIONS AND NOISE ENGINEERING-MCL733,MTh 08:00-09:30
733,AUTOMOTIVE DESIGN-MCL736,TWF 09:00-10:00
734,DYNAMICS OF MULTIBODY SYSTEMS-MCL738,MTh 09:30-11:00
735,CONTROL ENGINEERING-MCL741,TWF 10:00-11:00
736,ROBOTICS-MCL745,TWF 08:00-09:00
737,DESIGN OF PRECISION MACHINES-MCL747,MTh 09:30-11:00
738,TRIBOLOGICAL SYSTEM DESIGN-MCL748,TThF 11:00-12:00
739,OPERATIONS PLANNING AND CONTRO-MCL754,MTF 12:00-13:00
740,SUPPLY CHAIN MANAGEMENT-MCL756,"W 12:00-13:00 ,TF 17:00-18:00"
741,OPTIMIZATION-MCL758,MTh 17:00-18:30
742,STOCHASTIC MODELING AND SIMULATION-MCL770,MTh 08:00-09:30
743,SPECIAL TOPICS IN IE-MCL775,MTh 15:30-17:00
744,COMPUTATIONAL METHODS-MCL782,MTh 09:30-11:00
745,COMPUTER AIDED MANUFACTURING-MCL784,TThF 11:00-12:00
746,METROLOGY-MCL786,TWF 10:00-11:00
747,COMPUTATIONAL HEAT TRANSFER-MCL813,MTF 12:00-13:00
748,CONVECTIVE HEAT TRANSFER-MCL814,MTh 08:00-09:30
749,GAS DYNAMICS-MCL816,"MW 11:00-12:00 ,Th 12:00-13:00"
750,THERMAL DESIGN-MCL823,TThF 11:00-12:00
751,INTRODUCTION TO MICROFLUIDICS-MCL826,
752,ADVANCED OPERATIONS RESEARCH-MCL865,TWF 10:00-11:00
753,ENGG. VISUALIZATION & COMM.-MCP100,
754,PRODUCT REALIZATION THROUGH MANUFACTURING-MCP101,
755,INDUSTRIAL ENGINEERING LAB - I-MCP261,
756,MECHANICAL ENGINEERING LAB - I-MCP301,
757,MANUFACTURING LABORATORY-II-MCP331,
758,PRODUCTION ENGINEERING LAB- II-MCP332,
759,SEMINAR COURSE - I-MCQ301,
760,SEMINAR COURSE - II-MCQ302,
761,SEMINAR COURSE - III-MCQ303,
762,SPL. MODULE IN MECHANICAL ENGG (ENERGY EFFICIENCY IN THERMAL SYSTEMS)-MCV390A,MTh 17:00-18:30
763,HUMAN VALUES AND TECHNOLOGY-VEL700,MTh 17:00-18:30
764,SPECIAL MODULE ON INNER DEVELOPMENT-II-VEV732,"W 12:00-13:00 ,TF 17:00-18:00"
765,SPECIAL MODULE ON INNER DEVELOPMENT-3-VEV741,
766,MINI PROJECT IN OPTICS AND PHOTONICS-OPD710,
767,OPTICS AND PHOTONICS FOR ENGINEERS & SCIENTISTS-OPL700,TWF 10:00-11:00
768,HOLLOW-CORE OPTICAL FIBER COMMUNICATION TECHNOLOGY-OPL703,
769,PHOTONIC MATERIALS AND APPLICATIONS-OPL712,TThF 11:00-12:00
770,INFORMATION PHOTONICS-OPL713,MTh 17:00-18:30
771,INTEGRATED PHOTONICS-OPL714,TThF 11:00-12:00
772,QUANTUM NONLINEAR PHOTONICS-OPL718,"MW 11:00-12:00 ,Th 12:00-13:00"
773,PHOTONIC MATRIX PROCESSORS FOR ARTIFICIAL INTELLIGENCE-OPV793,
774,MAJOR PROJECT PART-II-JOD802,
775,PROJECT-I-PYD411,
776,MAJOR PROJECT PART II-PYD412,
777,PROJECT III-PYD414,
778,PROJECT I-PYD561,
779,PROJECT II-PYD562,
780,MINI PROJECT-PYD658,
781,MAJOR PROJECT PART-II-PYD802,
782,MAJOR PROJECT PART-II-PYD852,
783,ELECTROMAGNETIC WAVES & QUA.MEC.-PYL101,MTh 14:00-15:30
784,PRINCIPLES OF ELECT. MATERIALS-PYL102,"MW 11:00-12:00 ,Th 12:00-13:00"
785,QUANTUM MECHANICS-PYL122,MTh 08:00-09:30
